salary, info
Medium,Science M.S.inBiologicalSciences Postgraduate 2010 Bachelor 3.41 internal A3 
Medium,InformationSystem M.S.inInformationSystemManagement Postgraduate 2010 Bachelor 3.95 external A1 
Low,Science B.A.inChemistry Undergraduate 2009 High-school 3.16 external A2 
Medium,Science B.S.inMathematicalSciences Undergraduate 2008 High-school 3.45 multi-modal A3 
NoPay,Business MBA Postgraduate 2009 Bachelor 3.74 internal A2 
Medium,Business Economics Undergraduate 2010 High-school 3.33 multi-modal B2 
Medium,Business MBA Postgraduate 2009 Bachelor 3.24 internal A3 
Low,Science B.A.inBiologicalSciences Undergraduate 2008 High-school 3.3 internal A3 
Medium,Science B.A.inChemistry Undergraduate 2007 High-school 3.02 multi-modal A3 
Medium,Business MBA Postgraduate 2010 Bachelor 3.42 internal B2 
NoPay,InformationSystem M.S.inInformationTechnology Postgraduate 2009 Bachelor 3.26 external A3 
Low,Science M.S.inChemistry Postgraduate 2010 Bachelor 3.95 internal B1 
Medium,Science M.S.inBiologicalSciences Postgraduate 2010 Bachelor 3.02 internal B1 
Medium,Business MSCF Postgraduate 2010 Bachelor 3.84 internal B2 
Low,Business MBA Postgraduate 2010 Bachelor 3.02 internal A2 
NoPay,Science M.S.inBiologicalSciences Postgraduate 2010 Bachelor 3.23 internal A2 
Medium,InformationSystem M.S.inInformationSystemManagement Postgraduate 2010 Bachelor 2.88 multi-modal B1 
Medium,InformationSystem M.S.inInformationSystemManagement Postgraduate 2010 Bachelor 3.49 internal A3 
Medium,Business Economics Undergraduate 2010 High-school 2.85 external B1 
NoPay,Science B.S.inMathematicalSciences Undergraduate 2008 High-school 3.23 internal A3 
Medium,InformationSystem M.S.inInformationSystemManagement Postgraduate 2010 Bachelor 3.43 internal A3 
Medium,Science B.S.inMathematicalSciences Undergraduate 2009 High-school 2.82 internal A3 
Medium,Science B.S.inMathematicalSciences Undergraduate 2010 High-school 2.82 internal A3 
NoPay,ComputerScience B.S.inComputerScience Postgraduate 2010 Bachelor 3.94 external A3 
